,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,lpk
73,13.0,8,307.0,130.0,4098,14.0,72,USA,chevrolet chevelle concours (sw),5.53
74,13.0,8,302.0,140.0,4294,16.0,72,USA,ford gran torino (sw),5.53
75,14.0,8,318.0,150.0,4077,14.0,72,USA,plymouth satellite custom (sw),5.95
76,18.0,4,121.0,112.0,2933,14.5,72,EU,volvo 145e (sw),7.65
77,22.0,4,121.0,76.0,2511,18.0,72,EU,volkswagen 411 (sw),9.35
78,21.0,4,120.0,87.0,2979,19.5,72,EU,peugeot 504 (sw),8.93
79,26.0,4,96.0,69.0,2189,18.0,72,EU,renault 12 (sw),11.05
80,22.0,4,122.0,86.0,2395,16.0,72,USA,ford pinto (sw),9.35
81,28.0,4,97.0,92.0,2288,17.0,72,JAPAN,datsun 510 (sw),11.9
82,23.0,4,120.0,97.0,2506,14.5,72,JAPAN,toyouta corona mark ii (sw),9.78
83,28.0,4,98.0,80.0,2164,15.0,72,USA,dodge colt (sw),11.9
84,27.0,4,97.0,88.0,2100,16.5,72,JAPAN,toyota corolla 1600 (sw),11.48
85,13.0,8,350.0,175.0,4100,13.0,73,USA,buick century 350,5.53
86,14.0,8,304.0,150.0,3672,11.5,73,USA,amc matador,5.95
87,13.0,8,350.0,145.0,3988,13.0,73,USA,chevrolet malibu,5.53
88,14.0,8,302.0,137.0,4042,14.5,73,USA,ford gran torino,5.95
89,15.0,8,318.0,150.0,3777,12.5,73,USA,dodge coronet custom,6.38
90,12.0,8,429.0,198.0,4952,11.5,73,USA,mercury marquis brougham,5.1
91,13.0,8,400.0,150.0,4464,12.0,73,USA,chevrolet caprice classic,5.53
92,13.0,8,351.0,158.0,4363,13.0,73,USA,ford ltd,5.53
93,14.0,8,318.0,150.0,4237,14.5,73,USA,plymouth fury gran sedan,5.95
94,13.0,8,440.0,215.0,4735,11.0,73,USA,chrysler new yorker brougham,5.53
95,12.0,8,455.0,225.0,4951,11.0,73,USA,buick electra 225 custom,5.1
96,13.0,8,360.0,175.0,3821,11.0,73,USA,amc ambassador brougham,5.53
97,18.0,6,225.0,105.0,3121,16.5,73,USA,plymouth valiant,7.65
98,16.0,6,250.0,100.0,3278,18.0,73,USA,chevrolet nova custom,6.8
99,18.0,6,232.0,100.0,2945,16.0,73,USA,amc hornet,7.65
100,18.0,6,250.0,88.0,3021,16.5,73,USA,ford maverick,7.65
101,23.0,6,198.0,95.0,2904,16.0,73,USA,plymouth duster,9.78
102,26.0,4,97.0,46.0,1950,21.0,73,EU,volkswagen super beetle,11.05
103,11.0,8,400.0,150.0,4997,14.0,73,USA,chevrolet impala,4.68
104,12.0,8,400.0,167.0,4906,12.5,73,USA,ford country,5.1
105,13.0,8,360.0,170.0,4654,13.0,73,USA,plymouth custom suburb,5.53
106,12.0,8,350.0,180.0,4499,12.5,73,USA,oldsmobile vista cruiser,5.1
107,18.0,6,232.0,100.0,2789,15.0,73,USA,amc gremlin,7.65
108,20.0,4,97.0,88.0,2279,19.0,73,JAPAN,toyota carina,8.5
109,21.0,4,140.0,72.0,2401,19.5,73,USA,chevrolet vega,8.93
110,22.0,4,108.0,94.0,2379,16.5,73,JAPAN,datsun 610,9.35
111,18.0,3,70.0,90.0,2124,13.5,73,JAPAN,maxda rx3,7.65
112,19.0,4,122.0,85.0,2310,18.5,73,USA,ford pinto,8.08
113,21.0,6,155.0,107.0,2472,14.0,73,USA,mercury capri v6,8.93
114,26.0,4,98.0,90.0,2265,15.5,73,EU,fiat 124 sport coupe,11.05
115,15.0,8,350.0,145.0,4082,13.0,73,USA,chevrolet monte carlo s,6.38
116,16.0,8,400.0,230.0,4278,9.5,73,USA,pontiac grand prix,6.8
117,29.0,4,68.0,49.0,1867,19.5,73,EU,fiat 128,12.33
118,24.0,4,116.0,75.0,2158,15.5,73,EU,opel manta,10.2
119,20.0,4,114.0,91.0,2582,14.0,73,EU,audi 100ls,8.5
120,19.0,4,121.0,112.0,2868,15.5,73,EU,volvo 144ea,8.08
121,15.0,8,318.0,150.0,3399,11.0,73,USA,dodge dart custom,6.38
122,24.0,4,121.0,110.0,2660,14.0,73,EU,saab 99le,10.2
123,20.0,6,156.0,122.0,2807,13.5,73,JAPAN,toyota mark ii,8.5
124,11.0,8,350.0,180.0,3664,11.0,73,USA,oldsmobile omega,4.68
125,20.0,6,198.0,95.0,3102,16.5,74,USA,plymouth duster,8.5
126,21.0,6,200.0,104.0,2875,17.0,74,USA,ford maverick,8.93
127,19.0,6,232.0,100.0,2901,16.0,74,USA,amc hornet,8.08
128,15.0,6,250.0,100.0,3336,17.0,74,USA,chevrolet nova,6.38
129,31.0,4,79.0,67.0,1950,19.0,74,JAPAN,datsun b210,13.18
130,26.0,4,122.0,80.0,2451,16.5,74,USA,ford pinto,11.05
131,32.0,4,71.0,65.0,1836,21.0,74,JAPAN,toyota corolla 1200,13.6
132,25.0,4,140.0,75.0,2542,17.0,74,USA,chevrolet vega,10.63
133,16.0,6,250.0,100.0,3781,17.0,74,USA,chevrolet chevelle malibu classic,6.8
134,16.0,6,258.0,110.0,3632,18.0,74,USA,amc matador,6.8
135,18.0,6,225.0,105.0,3613,16.5,74,USA,plymouth satellite sebring,7.65
136,16.0,8,302.0,140.0,4141,14.0,74,USA,ford gran torino,6.8
137,13.0,8,350.0,150.0,4699,14.5,74,USA,buick century luxus (sw),5.53
138,14.0,8,318.0,150.0,4457,13.5,74,USA,dodge coronet custom (sw),5.95
139,14.0,8,302.0,140.0,4638,16.0,74,USA,ford gran torino (sw),5.95
140,14.0,8,304.0,150.0,4257,15.5,74,USA,amc matador (sw),5.95
141,29.0,4,98.0,83.0,2219,16.5,74,EU,audi fox,12.33
142,26.0,4,79.0,67.0,1963,15.5,74,EU,volkswagen dasher,11.05
143,26.0,4,97.0,78.0,2300,14.5,74,EU,opel manta,11.05
144,31.0,4,76.0,52.0,1649,16.5,74,JAPAN,toyota corona,13.18
145,32.0,4,83.0,61.0,2003,19.0,74,JAPAN,datsun 710,13.6
146,28.0,4,90.0,75.0,2125,14.5,74,USA,dodge colt,11.9
147,24.0,4,90.0,75.0,2108,15.5,74,EU,fiat 128,10.2
148,26.0,4,116.0,75.0,2246,14.0,74,EU,fiat 124 tc,11.05
149,24.0,4,120.0,97.0,2489,15.0,74,JAPAN,honda civic,10.2
150,26.0,4,108.0,93.0,2391,15.5,74,JAPAN,subaru,11.05
151,31.0,4,79.0,67.0,2000,16.0,74,EU,fiat x1.9,13.18
152,19.0,6,225.0,95.0,3264,16.0,75,USA,plymouth valiant custom,8.08
153,18.0,6,250.0,105.0,3459,16.0,75,USA,chevrolet nova,7.65
154,15.0,6,250.0,72.0,3432,21.0,75,USA,mercury monarch,6.38
155,15.0,6,250.0,72.0,3158,19.5,75,USA,ford maverick,6.38
156,16.0,8,400.0,170.0,4668,11.5,75,USA,pontiac catalina,6.8
157,15.0,8,350.0,145.0,4440,14.0,75,USA,chevrolet bel air,6.38
158,16.0,8,318.0,150.0,4498,14.5,75,USA,plymouth grand fury,6.8
159,14.0,8,351.0,148.0,4657,13.5,75,USA,ford ltd,5.95
160,17.0,6,231.0,110.0,3907,21.0,75,USA,buick century,7.23
161,16.0,6,250.0,105.0,3897,18.5,75,USA,chevroelt chevelle malibu,6.8
162,15.0,6,258.0,110.0,3730,19.0,75,USA,amc matador,6.38
163,18.0,6,225.0,95.0,3785,19.0,75,USA,plymouth fury,7.65
164,21.0,6,231.0,110.0,3039,15.0,75,USA,buick skyhawk,8.93
165,20.0,8,262.0,110.0,3221,13.5,75,USA,chevrolet monza 2+2,8.5
166,13.0,8,302.0,129.0,3169,12.0,75,USA,ford mustang ii,5.53
167,29.0,4,97.0,75.0,2171,16.0,75,JAPAN,toyota corolla,12.33
168,23.0,4,140.0,83.0,2639,17.0,75,USA,ford pinto,9.78
169,20.0,6,232.0,100.0,2914,16.0,75,USA,amc gremlin,8.5
170,23.0,4,140.0,78.0,2592,18.5,75,USA,pontiac astro,9.78
171,24.0,4,134.0,96.0,2702,13.5,75,JAPAN,toyota corona,10.2
172,25.0,4,90.0,71.0,2223,16.5,75,EU,volkswagen dasher,10.63
173,24.0,4,119.0,97.0,2545,17.0,75,JAPAN,datsun 710,10.2
174,18.0,6,171.0,97.0,2984,14.5,75,USA,ford pinto,7.65
175,29.0,4,90.0,70.0,1937,14.0,75,EU,volkswagen rabbit,12.33
176,19.0,6,232.0,90.0,3211,17.0,75,USA,amc pacer,8.08
177,23.0,4,115.0,95.0,2694,15.0,75,EU,audi 100ls,9.78
178,23.0,4,120.0,88.0,2957,17.0,75,EU,peugeot 504,9.78
179,22.0,4,121.0,98.0,2945,14.5,75,EU,volvo 244dl,9.35
180,25.0,4,121.0,115.0,2671,13.5,75,EU,saab 99le,10.63
181,33.0,4,91.0,53.0,1795,17.5,75,JAPAN,honda civic cvcc,14.03
182,28.0,4,107.0,86.0,2464,15.5,76,EU,fiat 131,11.9
183,25.0,4,116.0,81.0,2220,16.9,76,EU,opel 1900,10.63
184,25.0,4,140.0,92.0,2572,14.9,76,USA,capri ii,10.63
185,26.0,4,98.0,79.0,2255,17.7,76,USA,dodge colt,11.05
186,27.0,4,101.0,83.0,2202,15.3,76,EU,renault 12tl,11.48
187,17.5,8,305.0,140.0,4215,13.0,76,USA,chevrolet chevelle malibu classic,7.44
188,16.0,8,318.0,150.0,4190,13.0,76,USA,dodge coronet brougham,6.8
189,15.5,8,304.0,120.0,3962,13.9,76,USA,amc matador,6.59
190,14.5,8,351.0,152.0,4215,12.8,76,USA,ford gran torino,6.16
191,22.0,6,225.0,100.0,3233,15.4,76,USA,plymouth valiant,9.35
192,22.0,6,250.0,105.0,3353,14.5,76,USA,chevrolet nova,9.35
193,24.0,6,200.0,81.0,3012,17.6,76,USA,ford maverick,10.2
194,22.5,6,232.0,90.0,3085,17.6,76,USA,amc hornet,9.57
195,29.0,4,85.0,52.0,2035,22.2,76,USA,chevrolet chevette,12.33
196,24.5,4,98.0,60.0,2164,22.1,76,USA,chevrolet woody,10.42
197,29.0,4,90.0,70.0,1937,14.2,76,EU,vw rabbit,12.33
198,33.0,4,91.0,53.0,1795,17.4,76,JAPAN,honda civic,14.03
199,20.0,6,225.0,100.0,3651,17.7,76,USA,dodge aspen se,8.5
200,18.0,6,250.0,78.0,3574,21.0,76,USA,ford granada ghia,7.65
201,18.5,6,250.0,110.0,3645,16.2,76,USA,pontiac ventura sj,7.87
202,17.5,6,258.0,95.0,3193,17.8,76,USA,amc pacer d/l,7.44
203,29.5,4,97.0,71.0,1825,12.2,76,EU,volkswagen rabbit,12.54
204,32.0,4,85.0,70.0,1990,17.0,76,JAPAN,datsun b-210,13.6
205,28.0,4,97.0,75.0,2155,16.4,76,JAPAN,toyota corolla,11.9
206,26.5,4,140.0,72.0,2565,13.6,76,USA,ford pinto,11.27
207,20.0,4,130.0,102.0,3150,15.7,76,EU,volvo 245,8.5
208,13.0,8,318.0,150.0,3940,13.2,76,USA,plymouth volare premier v8,5.53
209,19.0,4,120.0,88.0,3270,21.9,76,EU,peugeot 504,8.08
210,19.0,6,156.0,108.0,2930,15.5,76,JAPAN,toyota mark ii,8.08
211,16.5,6,168.0,120.0,3820,16.7,76,EU,mercedes-benz 280s,7.01
212,16.5,8,350.0,180.0,4380,12.1,76,USA,cadillac seville,7.01
213,13.0,8,350.0,145.0,4055,12.0,76,USA,chevy c10,5.53
214,13.0,8,302.0,130.0,3870,15.0,76,USA,ford f108,5.53
215,13.0,8,318.0,150.0,3755,14.0,76,USA,dodge d100,5.53
216,31.5,4,98.0,68.0,2045,18.5,77,JAPAN,honda accord cvcc,13.39
217,30.0,4,111.0,80.0,2155,14.8,77,USA,buick opel isuzu deluxe,12.75
218,36.0,4,79.0,58.0,1825,18.6,77,EU,renault 5 gtl,15.31
219,25.5,4,122.0,96.0,2300,15.5,77,USA,plymouth arrow gs,10.84
220,33.5,4,85.0,70.0,1945,16.8,77,JAPAN,datsun f-10 hatchback,14.24
221,17.5,8,305.0,145.0,3880,12.5,77,USA,chevrolet caprice classic,7.44
222,17.0,8,260.0,110.0,4060,19.0,77,USA,oldsmobile cutlass supreme,7.23
223,15.5,8,318.0,145.0,4140,13.7,77,USA,dodge monaco brougham,6.59
224,15.0,8,302.0,130.0,4295,14.9,77,USA,mercury cougar brougham,6.38
225,17.5,6,250.0,110.0,3520,16.4,77,USA,chevrolet concours,7.44
226,20.5,6,231.0,105.0,3425,16.9,77,USA,buick skylark,8.72
227,19.0,6,225.0,100.0,3630,17.7,77,USA,plymouth volare custom,8.08
228,18.5,6,250.0,98.0,3525,19.0,77,USA,ford granada,7.87
229,16.0,8,400.0,180.0,4220,11.1,77,USA,pontiac grand prix lj,6.8
230,15.5,8,350.0,170.0,4165,11.4,77,USA,chevrolet monte carlo landau,6.59
231,15.5,8,400.0,190.0,4325,12.2,77,USA,chrysler cordoba,6.59
232,16.0,8,351.0,149.0,4335,14.5,77,USA,ford thunderbird,6.8
233,29.0,4,97.0,78.0,1940,14.5,77,EU,volkswagen rabbit custom,12.33
234,24.5,4,151.0,88.0,2740,16.0,77,USA,pontiac sunbird coupe,10.42
235,26.0,4,97.0,75.0,2265,18.2,77,JAPAN,toyota corolla liftback,11.05
236,25.5,4,140.0,89.0,2755,15.8,77,USA,ford mustang ii 2+2,10.84
237,30.5,4,98.0,63.0,2051,17.0,77,USA,chevrolet chevette,12.97
238,33.5,4,98.0,83.0,2075,15.9,77,USA,dodge colt m/m,14.24
239,30.0,4,97.0,67.0,1985,16.4,77,JAPAN,subaru dl,12.75
240,30.5,4,97.0,78.0,2190,14.1,77,EU,volkswagen dasher,12.97
241,22.0,6,146.0,97.0,2815,14.5,77,JAPAN,datsun 810,9.35
242,21.5,4,121.0,110.0,2600,12.8,77,EU,bmw 320i,9.14
243,21.5,3,80.0,110.0,2720,13.5,77,JAPAN,mazda rx-4,9.14
244,43.1,4,90.0,48.0,1985,21.5,78,EU,volkswagen rabbit custom diesel,18.32
245,36.1,4,98.0,66.0,1800,14.4,78,USA,ford fiesta,15.35
246,32.8,4,78.0,52.0,1985,19.4,78,JAPAN,mazda glc deluxe,13.94
247,39.4,4,85.0,70.0,2070,18.6,78,JAPAN,datsun b210 gx,16.75
248,36.1,4,91.0,60.0,1800,16.4,78,JAPAN,honda civic cvcc,15.35
249,19.9,8,260.0,110.0,3365,15.5,78,USA,oldsmobile cutlass salon brougham,8.46
250,19.4,8,318.0,140.0,3735,13.2,78,USA,dodge diplomat,8.25
251,20.2,8,302.0,139.0,3570,12.8,78,USA,mercury monarch ghia,8.59
252,19.2,6,231.0,105.0,3535,19.2,78,USA,pontiac phoenix lj,8.16
253,20.5,6,200.0,95.0,3155,18.2,78,USA,chevrolet malibu,8.72
254,20.2,6,200.0,85.0,2965,15.8,78,USA,ford fairmont (auto),8.59
255,25.1,4,140.0,88.0,2720,15.4,78,USA,ford fairmont (man),10.67
256,20.5,6,225.0,100.0,3430,17.2,78,USA,plymouth volare,8.72
257,19.4,6,232.0,90.0,3210,17.2,78,USA,amc concord,8.25
258,20.6,6,231.0,105.0,3380,15.8,78,USA,buick century special,8.76
259,20.8,6,200.0,85.0,3070,16.7,78,USA,mercury zephyr,8.84
260,18.6,6,225.0,110.0,3620,18.7,78,USA,dodge aspen,7.91
261,18.1,6,258.0,120.0,3410,15.1,78,USA,amc concord d/l,7.7
262,19.2,8,305.0,145.0,3425,13.2,78,USA,chevrolet monte carlo landau,8.16
263,17.7,6,231.0,165.0,3445,13.4,78,USA,buick regal sport coupe (turbo),7.53
264,18.1,8,302.0,139.0,3205,11.2,78,USA,ford futura,7.7
265,17.5,8,318.0,140.0,4080,13.7,78,USA,dodge magnum xe,7.44
266,30.0,4,98.0,68.0,2155,16.5,78,USA,chevrolet chevette,12.75
267,27.5,4,134.0,95.0,2560,14.2,78,JAPAN,toyota corona,11.69
268,27.2,4,119.0,97.0,2300,14.7,78,JAPAN,datsun 510,11.56
269,30.9,4,105.0,75.0,2230,14.5,78,USA,dodge omni,13.14
270,21.1,4,134.0,95.0,2515,14.8,78,JAPAN,toyota celica gt liftback,8.97
271,23.2,4,156.0,105.0,2745,16.7,78,USA,plymouth sapporo,9.86
272,23.8,4,151.0,85.0,2855,17.6,78,USA,oldsmobile starfire sx,10.12
273,23.9,4,119.0,97.0,2405,14.9,78,JAPAN,datsun 200-sx,10.16
274,20.3,5,131.0,103.0,2830,15.9,78,EU,audi 5000,8.63
275,17.0,6,163.0,125.0,3140,13.6,78,EU,volvo 264gl,7.23
276,21.6,4,121.0,115.0,2795,15.7,78,EU,saab 99gle,9.18
277,16.2,6,163.0,133.0,3410,15.8,78,EU,peugeot 604sl,6.89
278,31.5,4,89.0,71.0,1990,14.9,78,EU,volkswagen scirocco,13.39
279,29.5,4,98.0,68.0,2135,16.6,78,JAPAN,honda accord lx,12.54
280,21.5,6,231.0,115.0,3245,15.4,79,USA,pontiac lemans v6,9.14
281,19.8,6,200.0,85.0,2990,18.2,79,USA,mercury zephyr 6,8.42
282,22.3,4,140.0,88.0,2890,17.3,79,USA,ford fairmont 4,9.48
283,20.2,6,232.0,90.0,3265,18.2,79,USA,amc concord dl 6,8.59
284,20.6,6,225.0,110.0,3360,16.6,79,USA,dodge aspen 6,8.76
285,17.0,8,305.0,130.0,3840,15.4,79,USA,chevrolet caprice classic,7.23
286,17.6,8,302.0,129.0,3725,13.4,79,USA,ford ltd landau,7.48
287,16.5,8,351.0,138.0,3955,13.2,79,USA,mercury grand marquis,7.01
288,18.2,8,318.0,135.0,3830,15.2,79,USA,dodge st. regis,7.74
289,16.9,8,350.0,155.0,4360,14.9,79,USA,buick estate wagon (sw),7.18
290,15.5,8,351.0,142.0,4054,14.3,79,USA,ford country squire (sw),6.59
291,19.2,8,267.0,125.0,3605,15.0,79,USA,chevrolet malibu classic (sw),8.16
292,18.5,8,360.0,150.0,3940,13.0,79,USA,chrysler lebaron town @ country (sw),7.87
293,31.9,4,89.0,71.0,1925,14.0,79,EU,vw rabbit custom,13.56
294,34.1,4,86.0,65.0,1975,15.2,79,JAPAN,maxda glc deluxe,14.5
295,35.7,4,98.0,80.0,1915,14.4,79,USA,dodge colt hatchback custom,15.18
296,27.4,4,121.0,80.0,2670,15.0,79,USA,amc spirit dl,11.65
297,25.4,5,183.0,77.0,3530,20.1,79,EU,mercedes benz 300d,10.8
298,23.0,8,350.0,125.0,3900,17.4,79,USA,cadillac eldorado,9.78
299,27.2,4,141.0,71.0,3190,24.8,79,EU,peugeot 504,11.56
300,23.9,8,260.0,90.0,3420,22.2,79,USA,oldsmobile cutlass salon brougham,10.16
301,34.2,4,105.0,70.0,2200,13.2,79,USA,plymouth horizon,14.54
302,34.5,4,105.0,70.0,2150,14.9,79,USA,plymouth horizon tc3,14.67
303,31.8,4,85.0,65.0,2020,19.2,79,JAPAN,datsun 210,13.52
304,37.3,4,91.0,69.0,2130,14.7,79,EU,fiat strada custom,15.86
305,28.4,4,151.0,90.0,2670,16.0,79,USA,buick skylark limited,12.07
306,28.8,6,173.0,115.0,2595,11.3,79,USA,chevrolet citation,12.24
307,26.8,6,173.0,115.0,2700,12.9,79,USA,oldsmobile omega brougham,11.39
308,33.5,4,151.0,90.0,2556,13.2,79,USA,pontiac phoenix,14.24
309,41.5,4,98.0,76.0,2144,14.7,80,EU,vw rabbit,17.64
310,38.1,4,89.0,60.0,1968,18.8,80,JAPAN,toyota corolla tercel,16.2
311,32.1,4,98.0,70.0,2120,15.5,80,USA,chevrolet chevette,13.65
312,37.2,4,86.0,65.0,2019,16.4,80,JAPAN,datsun 310,15.82
313,28.0,4,151.0,90.0,2678,16.5,80,USA,chevrolet citation,11.9
314,26.4,4,140.0,88.0,2870,18.1,80,USA,ford fairmont,11.22
315,24.3,4,151.0,90.0,3003,20.1,80,USA,amc concord,10.33
316,19.1,6,225.0,90.0,3381,18.7,80,USA,dodge aspen,8.12
317,34.3,4,97.0,78.0,2188,15.8,80,EU,audi 4000,14.58
318,29.8,4,134.0,90.0,2711,15.5,80,JAPAN,toyota corona liftback,12.67
319,31.3,4,120.0,75.0,2542,17.5,80,JAPAN,mazda 626,13.31
320,37.0,4,119.0,92.0,2434,15.0,80,JAPAN,datsun 510 hatchback,15.73
321,32.2,4,108.0,75.0,2265,15.2,80,JAPAN,toyota corolla,13.69
322,46.6,4,86.0,65.0,2110,17.9,80,JAPAN,mazda glc,19.81
323,27.9,4,156.0,105.0,2800,14.4,80,USA,dodge colt,11.86
324,40.8,4,85.0,65.0,2110,19.2,80,JAPAN,datsun 210,17.35
325,44.3,4,90.0,48.0,2085,21.7,80,EU,vw rabbit c (diesel),18.83
326,43.4,4,90.0,48.0,2335,23.7,80,EU,vw dasher (diesel),18.45
327,36.4,5,121.0,67.0,2950,19.9,80,EU,audi 5000s (diesel),15.48
328,30.0,4,146.0,67.0,3250,21.8,80,EU,mercedes-benz 240d,12.75
329,44.6,4,91.0,67.0,1850,13.8,80,JAPAN,honda civic 1500 gl,18.96
330,40.9,4,85.0,104.0,1835,17.3,80,EU,renault lecar deluxe,17.39
331,33.8,4,97.0,67.0,2145,18.0,80,JAPAN,subaru dl,14.37
332,29.8,4,89.0,62.0,1845,15.3,80,EU,vokswagen rabbit,12.67
333,32.7,6,168.0,132.0,2910,11.4,80,JAPAN,datsun 280-zx,13.9
334,23.7,3,70.0,100.0,2420,12.5,80,JAPAN,mazda rx-7 gs,10.08
335,35.0,4,122.0,88.0,2500,15.1,80,EU,triumph tr7 coupe,14.88
336,23.6,4,140.0,104.0,2905,14.3,80,USA,ford mustang cobra,10.03
337,32.4,4,107.0,72.0,2290,17.0,80,JAPAN,honda accord,13.77
338,27.2,4,135.0,84.0,2490,15.7,81,USA,plymouth reliant,11.56
